Replicate,CPU_Runtime_sec,GPU_Runtime_sec,CPU_ARI,GPU_ARI,CPU_NMI,GPU_NMI
87,0.0035600662231445312,0.0016379356384277344,1.0,1.0,1.0,1.0
88,0.0036399364471435547,0.00177764892578125,1.0,1.0,1.0,1.0
89,0.0035257339477539062,0.0017464160919189453,1.0,1.0,1.0,1.0
90,0.0037877559661865234,0.0016512870788574219,1.0,1.0,1.0,1.0
91,0.0034608840942382812,0.0018382072448730469,1.0,1.0,1.0,1.0
92,0.0037224292755126953,0.0016489028930664062,1.0,1.0,1.0,1.0
93,0.0038671493530273438,0.001795053482055664,1.0,1.0,1.0,1.0
94,0.0037696361541748047,0.0017743110656738281,1.0,1.0,1.0,1.0
95,0.003845691680908203,0.0017697811126708984,1.0,1.0,1.0,1.0
96,0.0036821365356445312,0.0016891956329345703,1.0,1.0,1.0,1.0
97,0.0036525726318359375,0.0016484260559082031,1.0,1.0,1.0,1.0
98,0.003656148910522461,0.0018298625946044922,1.0,1.0,1.0,1.0
99,0.0034737586975097656,0.0016477108001708984,1.0,1.0,1.0,1.0
100,0.003688335418701172,0.0017857551574707031,1.0,1.0,1.0,1.0
